SJU,SJU,SJUA,PR,NA,18.440000,-66.002222,467823,San Juan
LHE,LHE,LHEA,PK,AS,31.520833,74.402778,466730,Lahore
TPA,TPA,TPAA,US,NA,27.973056,-82.535278,465309,Tampa
HHN,FRA,FRAN,DE,EU,49.950000,7.266667,457585,Frankfurt
TFN,TCI,TENE,ES,EU,28.473056,-16.332778,456154,Tenerife
GYD,BAK,BAKA,AZ,AS,40.470457,50.047531,455522,Baku
REP,REP,REPK,KH,AS,13.400000,103.816667,447748,Siem Reap
TUN,TUN,TUNI,TN,AF,36.851111,10.227222,446994,Tunis Carthage
LOS,LOS,LOSA,NG,AF,6.588889,3.326389,427823,Lagos
TIA,TIA,TIRA,AL,EU,41.416944,19.716667,427047,Tirana
NRN,DUS,DUSS,DE,EU,51.605600,6.150000,426958,Dusseldorf
SSA,SSA,SSAA,BR,SA,-12.916667,-38.333333,423990,Salvador
SAN,SAN,SANA,US,NA,32.732778,-117.187222,423740,San Diego
SCQ,SCQ,SANC,ES,EU,42.900000,-8.416800,419504,Santiago de Compostela
ECN,ECN,ERCA,CY,AS,35.158900,33.489800,417285,Ercan
OMS,OMS,OMSK,RU,EU,54.966667,73.300000,416038,Omsk
NBO,NBO,NBOA,KE,AF,-1.316667,36.930833,413626,Nairobi
CJU,CJU,CJUA,KR,AS,33.505556,126.495000,411896,Jeju
PNH,PNH,PNHK,KH,AS,11.546111,104.847778,411111,Phnom Penh
CWL,CWL,CARD,UK,EU,51.397500,-3.346667,409652,Cardiff
MSP,MSP,MSPA,US,NA,44.886111,-93.217778,405059,Minneapolis
PHL,PHL,PHLA,US,NA,39.871667,-75.242222,403365,Philadelphia
PEE,PEE,PERM,RU,EU,57.914517,56.021214,397136,Perm
JMK,JMK,MIKO,GR,EU,37.436111,25.344444,395563,Mykonos
NUE,NUE,NURE,DE,EU,49.500000,11.083333,393607,Nuremberg
PIK,GLA,GLAS,UK,EU,55.503056,-4.575556,391936,Glasgow
DMM,DMM,DMMA,SA,AS,26.466667,49.800000,386278,Dammam
MJV,MJV,MURC,ES,EU,37.774722,-0.811111,386053,Murcia
SUF,SUF,MARA,IT,EU,38.907064,16.240883,385635,Lamezia Terme
PHX,PHX,PHXA,US,NA,33.433160,-112.011795,384429,Phoenix
DTW,DTT,DTTA,US,NA,42.218611,-83.348611,375758,Detroit
SNN,SNN,SHAN,IE,EU,52.700556,-8.918611,375717,Shannon
PEN,PEN,PENM,MY,AS,5.289722,100.272500,369667,Penang
